title,address,city,state,postal_code,price,zestimate,zestimate_rent,price_to_rent_ratio,facts_and_features,real_estate_provider,url,zone,zoning_description
Condo for sale,,Lahaina,HI,96761,"$699,000",698484,,,"2 bds, 2.0 ba ,1269 sqft",Maui Luxury Real Estate LLC,https://www.zillow.com/homedetails/4242-Lower-Honoapiilani-Rd-APT-E111-Lahaina-HI-96761/2073902102_zpid/,4,"State Zoning: Urban,County Zoning: Planned Development"
Condo for sale,,Lahaina,HI,96761,"$625,000",611898,,,"2 bds, 2.0 ba ,832 sqft",Maui Paradise Properties LLC,https://www.zillow.com/homedetails/660-Wainee-St-A104-Lahaina-HI-96761/121067436_zpid/,4,"State Zoning: Urban,County Zoning: H-1 Hotel District"
Condo for sale,,Lahaina,HI,96761,"$395,000",389733,,,"2 bds, 1.0 ba ,646 sqft",Berkshire Hathaway Maui Prop-L,https://www.zillow.com/homedetails/4955-Hanawai-St-APT-4-204-Lahaina-HI-96761/71764386_zpid/,Not found,Not found
Condo for sale,,Lahaina,HI,96761,"$405,000",,,,"1 bds, 1.0 ba ,611 sqft",Keller Williams Realty Maui-L,https://www.zillow.com/homedetails/4471-Lower-Honoapiilani-Rd-103-Lahaina-HI-96761/2103158580_zpid/,4,"State Zoning: Urban,County Zoning: A-2 Apartment District"
Active,,Lahaina,HI,96761,"$699,900",699898,,,"1 bds, 1.0 ba ,518 sqft",Soldier To Soldier HI Realty,https://www.zillow.com/homedetails/3701-Lower-Honoapiilani-Rd-201-Lahaina-HI-96761/80330465_zpid/,Not found,Not found
Condo for sale,,Lahaina,HI,96761,"$599,000",573164,,,"1 bds, 1.0 ba ,923 sqft",Coldwell Banker Island Prop(L),https://www.zillow.com/homedetails/475-Front-St-202-Lahaina-HI-96761/759898_zpid/,Not found,Not found
Condo for sale,,Lahaina,HI,96761,"$477,000",,,,"1 bds, 1.0 ba ,611 sqft",West Maui Luxury Property,https://www.zillow.com/homedetails/4471-Lower-Honoapiilanijavascript-Void-0-Rd-202-Lahaina-HI-96761/2076725382_zpid/,4,"State Zoning: Urban,County Zoning: R-2 Residential"
Condo for sale,,Lahaina,HI,96761,"$520,000",502551,,,"1 bds, 1.0 ba ,700 sqft",Coldwell Banker Island Prop(L),https://www.zillow.com/homedetails/4909-Lower-Honoapiilani-Rd-E5E-Lahaina-HI-96761/80330163_zpid/,4,"State Zoning: Urban,County Zoning: A-2 Apartment District"
Condo for sale,,Lahaina,HI,96761,"$435,000",413737,,,"1 bds, 1.0 ba ,960 sqft",Keller Williams Realty Maui-L,https://www.zillow.com/homedetails/2661-Kekaa-Dr-B104-Lahaina-HI-96761/80332790_zpid/,4,"State Zoning: Urban,County Zoning: A-2 Apartment District"
Condo for sale,,Lahaina,HI,96761,"$429,900",,,,"2 bds, 1.0 ba ,700 sqft",FlatList.com,https://www.zillow.com/homedetails/760-Wainee-St-APT-A202-Lahaina-HI-96761/80333276_zpid/,Not found,Not found
Condo for sale,,Lahaina,HI,96761,"$449,000",,,,"1 bds, 1.0 ba ,960 sqft",Island Sotheby's Int'l Rlty(L),https://www.zillow.com/homedetails/2661-Kekaa-Dr-B102-Lahaina-HI-96761/71766117_zpid/,4,"State Zoning: Urban,County Zoning: A-2 Apartment District"
